encoder,view,case_id,image_id,provenance,progress,off_axis,source_distance,full_distance,axis_norm,cosine_to_source,cosine_to_full,cosine_distance_source,cosine_distance_full
clip,whole,ball_color_seed_20260914,source,SOURCE INPUT — reused from v6 manifest,0.0,0.0,0.0,0.6375958323478699,0.6375958323478699,0.9999998807907104,0.7967357039451599,1.1920928955078125e-07,0.2032642960548401
clip,whole,ball_color_seed_20260914,oracle_0.2,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC — reused from v6,0.8494728207588196,0.315564900636673,0.5777847766876221,0.2229212522506714,0.6375958323478699,0.8330823183059692,0.9751530289649963,0.16691768169403076,0.024846971035003662
clip,whole,ball_color_seed_20260914,oracle_0.5,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC — reused from v6,0.8826477527618408,0.29200729727745056,0.5927705764770508,0.20065516233444214,0.6375958323478699,0.824311375617981,0.9798687100410461,0.17568862438201904,0.020131289958953857
clip,whole,ball_color_seed_20260914,oracle_0.8,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC — reused from v6,0.8946577310562134,0.32410719990730286,0.6067078709602356,0.21729062497615814,0.6375958323478699,0.815952718257904,0.976392388343811,0.18404728174209595,0.023607611656188965
clip,whole,ball_color_seed_20260914,full,MODEL-GENERATED NATIVE FULL — reused from v6 manifest,1.0,0.0,0.6375958323478699,0.0,0.6375958323478699,0.7967357039451599,0.9999998807907104,0.2032642960548401,1.1920928955078125e-07
clip,crop,ball_color_seed_20260914,source,SOURCE INPUT — reused from v6 manifest,0.0,0.0,0.0,0.6375958323478699,0.6375958323478699,0.9999998807907104,0.7967357039451599,1.1920928955078125e-07,0.2032642960548401
clip,crop,ball_color_seed_20260914,oracle_0.2,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC — reused from v6,0.8494728207588196,0.315564900636673,0.5777847766876221,0.2229212522506714,0.6375958323478699,0.8330823183059692,0.9751530289649963,0.16691768169403076,0.024846971035003662
clip,crop,ball_color_seed_20260914,oracle_0.5,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC — reused from v6,0.8826477527618408,0.29200729727745056,0.5927705764770508,0.20065516233444214,0.6375958323478699,0.824311375617981,0.9798687100410461,0.17568862438201904,0.020131289958953857
clip,crop,ball_color_seed_20260914,oracle_0.8,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC — reused from v6,0.8946577310562134,0.32410719990730286,0.6067078709602356,0.21729062497615814,0.6375958323478699,0.815952718257904,0.976392388343811,0.18404728174209595,0.023607611656188965
clip,crop,ball_color_seed_20260914,full,MODEL-GENERATED NATIVE FULL — reused from v6 manifest,1.0,0.0,0.6375958323478699,0.0,0.6375958323478699,0.7967357039451599,0.9999998807907104,0.2032642960548401,1.1920928955078125e-07
siglip,whole,ball_color_seed_20260914,source,SOURCE INPUT — reused from v6 manifest,0.0,0.0,0.0,0.5683382153511047,0.5683382153511047,1.0,0.8384959101676941,0.0,0.1615040898323059
siglip,whole,ball_color_seed_20260914,oracle_0.2,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC — reused from v6,0.7599626779556274,0.4255136549472809,0.4950108826160431,0.27766087651252747,0.5683382153511047,0.8774821162223816,0.9614522457122803,0.12251788377761841,0.03854775428771973
siglip,whole,ball_color_seed_20260914,oracle_0.5,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC — reused from v6,0.8277897834777832,0.3176131248474121,0.5039060711860657,0.20533809065818787,0.5683382153511047,0.8730393648147583,0.9789181351661682,0.1269606351852417,0.021081864833831787
siglip,whole,ball_color_seed_20260914,oracle_0.8,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC — reused from v6,0.9232953190803528,0.31902140378952026,0.5551849603652954,0.18647927045822144,0.5683382153511047,0.8458847999572754,0.9826128482818604,0.1541152000427246,0.01738715171813965
siglip,whole,ball_color_seed_20260914,full,MODEL-GENERATED NATIVE FULL — reused from v6 manifest,1.0,0.0,0.5683382153511047,0.0,0.5683382153511047,0.8384959101676941,1.0,0.1615040898323059,0.0
siglip,crop,ball_color_seed_20260914,source,SOURCE INPUT — reused from v6 manifest,0.0,0.0,0.0,0.5683382153511047,0.5683382153511047,1.0,0.8384959101676941,0.0,0.1615040898323059
siglip,crop,ball_color_seed_20260914,oracle_0.2,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC — reused from v6,0.7599626779556274,0.4255136549472809,0.4950108826160431,0.27766087651252747,0.5683382153511047,0.8774821162223816,0.9614522457122803,0.12251788377761841,0.03854775428771973
siglip,crop,ball_color_seed_20260914,oracle_0.5,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC — reused from v6,0.8277897834777832,0.3176131248474121,0.5039060711860657,0.20533809065818787,0.5683382153511047,0.8730393648147583,0.9789181351661682,0.1269606351852417,0.021081864833831787
siglip,crop,ball_color_seed_20260914,oracle_0.8,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC — reused from v6,0.9232953190803528,0.31902140378952026,0.5551849603652954,0.18647927045822144,0.5683382153511047,0.8458847999572754,0.9826128482818604,0.1541152000427246,0.01738715171813965
siglip,crop,ball_color_seed_20260914,full,MODEL-GENERATED NATIVE FULL — reused from v6 manifest,1.0,0.0,0.5683382153511047,0.0,0.5683382153511047,0.8384959101676941,1.0,0.1615040898323059,0.0
