alpha,overall_progress_raw,overall_progress_clamped,objective_error
0.0,0.0,0.0,0.0
0.2,0.7773045897483826,0.7773045897483826,0.5773046016693115
0.4,0.9594973921775818,0.9594973921775818,0.5594973564147949
0.5,1.0168089866638184,1.0,0.5168089866638184
0.6,1.0258864164352417,1.0,0.4258863925933838
0.8,0.9738397598266602,0.9738397598266602,0.1738397479057312
1.0,0.9830003380775452,0.9830003380775452,0.016999661922454834
