encoder,case_id,image_id,provenance,progress,off_axis,source_distance,full_distance,axis_norm,cosine_to_source,cosine_to_full,cosine_distance_source,cosine_distance_full,legacy_ratio_if_available
clip,ball_color_seed_20260914,source,SOURCE INPUT,0.0,0.0,0.0,0.6375958323478699,0.6375958323478699,0.9999998807907104,0.7967357039451599,1.1920928955078125e-07,0.2032642960548401,
clip,ball_color_seed_20260914,oracle_0.2,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.8494728207588196,0.315564900636673,0.5777847766876221,0.2229212522506714,0.6375958323478699,0.8330823183059692,0.9751530289649963,0.16691768169403076,0.024846971035003662,
clip,ball_color_seed_20260914,oracle_0.5,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.8826477527618408,0.29200729727745056,0.5927705764770508,0.20065516233444214,0.6375958323478699,0.824311375617981,0.9798687100410461,0.17568862438201904,0.020131289958953857,
clip,ball_color_seed_20260914,oracle_0.8,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.8946577310562134,0.32410719990730286,0.6067078709602356,0.21729062497615814,0.6375958323478699,0.815952718257904,0.976392388343811,0.18404728174209595,0.023607611656188965,
clip,ball_color_seed_20260914,full,MODEL-GENERATED NATIVE FULL,1.0,0.0,0.6375958323478699,0.0,0.6375958323478699,0.7967357039451599,0.9999998807907104,0.2032642960548401,1.1920928955078125e-07,
clip,ball_color_seed_20260915,source,SOURCE INPUT,0.0,0.0,0.0,0.6433545351028442,0.6433545351028442,0.9999998807907104,0.7930474281311035,1.1920928955078125e-07,0.20695257186889648,
clip,ball_color_seed_20260915,oracle_0.2,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.8692381978034973,0.2582058012485504,0.5833793878555298,0.1862051635980606,0.6433545351028442,0.8298341631889343,0.9826638698577881,0.17016583681106567,0.017336130142211914,
clip,ball_color_seed_20260915,oracle_0.5,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.8992934226989746,0.31276217103004456,0.6125562787055969,0.2113906592130661,0.6433545351028442,0.8123874068260193,0.9776570796966553,0.1876125931739807,0.022342920303344727,
clip,ball_color_seed_20260915,oracle_0.8,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.932720422744751,0.20345592498779297,0.6141802072525024,0.13786540925502777,0.6433545351028442,0.8113912343978882,0.9904965162277222,0.18860876560211182,0.009503483772277832,
clip,ball_color_seed_20260915,full,MODEL-GENERATED NATIVE FULL,1.0,0.0,0.6433545351028442,0.0,0.6433545351028442,0.7930474281311035,1.0000001192092896,0.20695257186889648,-1.1920928955078125e-07,
clip,ball_color_seed_20260916,source,SOURCE INPUT,0.0,0.0,0.0,0.6271635890007019,0.6271635890007019,0.9999998807907104,0.8033329248428345,1.1920928955078125e-07,0.19666707515716553,
clip,ball_color_seed_20260916,oracle_0.2,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.7286977171897888,0.3989769518375397,0.5210302472114563,0.30259424448013306,0.6271635890007019,0.8642637133598328,0.9542184472084045,0.13573628664016724,0.04578155279159546,
clip,ball_color_seed_20260916,oracle_0.5,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.7947335243225098,0.3852684497833252,0.5539076328277588,0.2737812399864197,0.6271635890007019,0.8465930819511414,0.9625219702720642,0.15340691804885864,0.03747802972793579,
clip,ball_color_seed_20260916,oracle_0.8,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.9593793153762817,0.24948841333389282,0.6217001080513,0.15853041410446167,0.6271635890007019,0.806744396686554,0.9874340295791626,0.19325560331344604,0.012565970420837402,
clip,ball_color_seed_20260916,full,MODEL-GENERATED NATIVE FULL,1.0,0.0,0.6271635890007019,0.0,0.6271635890007019,0.8033329248428345,1.0,0.19666707515716553,0.0,
clip,scene_reimagination_seed_20260914,source,SOURCE INPUT,0.0,0.0,0.0,0.7183611392974854,0.7183611392974854,1.0000001192092896,0.7419787049293518,-1.1920928955078125e-07,0.2580212950706482,
clip,scene_reimagination_seed_20260914,oracle_0.2,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.8164423704147339,0.6037561297416687,0.7294460535049438,0.4533165395259857,0.7183611392974854,0.7339541912078857,0.897252082824707,0.26604580879211426,0.10274791717529297,
clip,scene_reimagination_seed_20260914,oracle_0.5,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.8608222007751465,0.4775296151638031,0.7071568965911865,0.35731154680252075,0.7183611392974854,0.7499645948410034,0.9361642599105835,0.2500354051589966,0.0638357400894165,
clip,scene_reimagination_seed_20260914,oracle_0.8,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.9220984578132629,0.3807067275047302,0.7166361808776855,0.27915167808532715,0.7183611392974854,0.7432163953781128,0.961037278175354,0.2567836046218872,0.038962721824645996,
clip,scene_reimagination_seed_20260914,full,MODEL-GENERATED NATIVE FULL,1.0,0.0,0.7183611392974854,0.0,0.7183611392974854,0.7419787049293518,0.9999999403953552,0.2580212950706482,5.960464477539063e-08,
