encoder,case_id,image_id,provenance,progress,off_axis,source_distance,full_distance,axis_norm,cosine_to_source,cosine_to_full,cosine_distance_source,cosine_distance_full,legacy_ratio_if_available
clip,ball_color_seed_20260914,source,SOURCE INPUT,0.0,0.0,0.0,0.6375958323478699,0.6375958323478699,0.9999998807907104,0.7967357039451599,1.1920928955078125e-07,0.2032642960548401,
clip,ball_color_seed_20260914,oracle_0.2,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.8494728207588196,0.315564900636673,0.5777847766876221,0.2229212522506714,0.6375958323478699,0.8330823183059692,0.9751530289649963,0.16691768169403076,0.024846971035003662,
clip,ball_color_seed_20260914,oracle_0.5,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.8826477527618408,0.29200729727745056,0.5927705764770508,0.20065516233444214,0.6375958323478699,0.824311375617981,0.9798687100410461,0.17568862438201904,0.020131289958953857,
clip,ball_color_seed_20260914,oracle_0.8,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.8946577310562134,0.32410719990730286,0.6067078709602356,0.21729062497615814,0.6375958323478699,0.815952718257904,0.976392388343811,0.18404728174209595,0.023607611656188965,
clip,ball_color_seed_20260914,full,MODEL-GENERATED NATIVE FULL,1.0,0.0,0.6375958323478699,0.0,0.6375958323478699,0.7967357039451599,0.9999998807907104,0.2032642960548401,1.1920928955078125e-07,
siglip,ball_color_seed_20260914,source,SOURCE INPUT,0.0,0.0,0.0,0.5683382153511047,0.5683382153511047,1.0,0.8384959101676941,0.0,0.1615040898323059,
siglip,ball_color_seed_20260914,oracle_0.2,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.7599626779556274,0.4255136549472809,0.4950108826160431,0.27766087651252747,0.5683382153511047,0.8774821162223816,0.9614522457122803,0.12251788377761841,0.03854775428771973,
siglip,ball_color_seed_20260914,oracle_0.5,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.8277897834777832,0.3176131248474121,0.5039060711860657,0.20533809065818787,0.5683382153511047,0.8730393648147583,0.9789181351661682,0.1269606351852417,0.021081864833831787,
siglip,ball_color_seed_20260914,oracle_0.8,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.9232953190803528,0.31902140378952026,0.5551849603652954,0.18647927045822144,0.5683382153511047,0.8458847999572754,0.9826128482818604,0.1541152000427246,0.01738715171813965,
siglip,ball_color_seed_20260914,full,MODEL-GENERATED NATIVE FULL,1.0,0.0,0.5683382153511047,0.0,0.5683382153511047,0.8384959101676941,1.0,0.1615040898323059,0.0,
qwen_hidden,ball_color_seed_20260914,source,SOURCE INPUT,0.0,0.0,0.0,0.19508351385593414,0.19508352875709534,1.0,0.9809712767601013,0.0,0.01902872323989868,0.0
qwen_hidden,ball_color_seed_20260914,oracle_0.2,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.9126986861228943,0.34424522519111633,0.19029636681079865,0.06928247213363647,0.19508352875709534,0.9818935990333557,0.9975999593734741,0.018106400966644287,0.002400040626525879,0.8829611931824795
qwen_hidden,ball_color_seed_20260914,oracle_0.5,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.9985816478729248,0.3198833167552948,0.20455801486968994,0.062404584139585495,0.19508352875709534,0.9790779948234558,0.9980528354644775,0.02092200517654419,0.001947164535522461,0.9148559519826127
qwen_hidden,ball_color_seed_20260914,oracle_0.8,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,1.0391591787338257,0.22858670353889465,0.20756962895393372,0.04524312913417816,0.19508352875709534,0.9784573912620544,0.9989765882492065,0.021542608737945557,0.001023411750793457,0.954647683769453
qwen_hidden,ball_color_seed_20260914,full,MODEL-GENERATED NATIVE FULL,0.9999997019767761,3.0596328315368737e-07,0.19508351385593414,0.0,0.19508352875709534,0.9809712767601013,1.0000001192092896,0.01902872323989868,-1.1920928955078125e-07,1.000005739214079
