requested_strength,feature_coordinate,target,absolute_coordinate_error,semantic_loss,control_energy,mse_to_source,mse_to_native_full,cosine_distance_source,cosine_distance_full,euclidean_distance_ratio,axis_projection,latent_max_abs_vs_native
0.0,0.9378155469894409,0.0,0.9378155469894409,0.8794980049133301,0.09150631725788116,0.018795501440763474,0.00010306006151949987,0.022936701774597168,0.0015208721160888672,0.7952201962471008,1.0317739248275757,0.9453125
0.1,0.9498046636581421,0.1,0.8498046398162842,0.7221679091453552,0.07412011176347733,0.01857418194413185,3.145125083392486e-05,0.022633850574493408,0.001196146011352539,0.8130787014961243,1.0323188304901123,0.61328125
0.2,0.9427729249000549,0.2,0.7427729368209839,0.5517116189002991,0.058564044535160065,0.018822427839040756,5.537993274629116e-05,0.023644328117370605,0.0014352202415466309,0.8023233413696289,1.0514715909957886,0.66796875
0.3,0.9574304223060608,0.3,0.6574304103851318,0.43221473693847656,0.04483809322118759,0.018396776169538498,2.7292699087411165e-05,0.02324962615966797,0.0010337233543395996,0.8258549571037292,1.0516401529312134,0.64453125
0.4,0.9370492696762085,0.4,0.5370492935180664,0.2884219288825989,0.0329422764480114,0.018741576001048088,2.8781030778191052e-05,0.023485422134399414,0.0015777349472045898,0.7941641807556152,1.0439872741699219,0.66015625
0.5,0.9546518921852112,0.5,0.4546518921852112,0.20670834183692932,0.02287657931447029,0.018720336258411407,3.168957118759863e-05,0.023084282875061035,0.0010965466499328613,0.8210513591766357,1.0459742546081543,0.671875
0.6,0.951371967792511,0.6,0.3513719439506531,0.1234622448682785,0.014641011133790016,0.01868666708469391,1.75690911419224e-05,0.023007750511169434,0.001175999641418457,0.8155957460403442,1.0421009063720703,0.62890625
0.7,0.9544545412063599,0.7,0.2544545531272888,0.06474711745977402,0.00823556911200285,0.018690388649702072,2.6391702704131603e-05,0.023444175720214844,0.0011187195777893066,0.8207140564918518,1.05436110496521,0.6640625
0.8,0.960979700088501,0.8,0.16097968816757202,0.02591446042060852,0.003660252783447504,0.018466029316186905,2.326857065781951e-05,0.023127377033233643,0.0009390711784362793,0.8322863578796387,1.0509556531906128,0.61328125
0.9,0.9714689254760742,0.9,0.07146894931793213,0.0051078107208013535,0.000915063195861876,0.019090045243501663,2.6495585188968107e-05,0.02113562822341919,0.000620722770690918,0.853697657585144,1.0094046592712402,0.65625
1.0,1.0000054836273193,1.0,5.4836273193359375e-06,3.007016857736744e-11,0.0,0.018910249695181847,0.0,0.020136117935180664,-1.1920928955078125e-07,0.9999999403953552,0.9999999403953552,0.0
