set,strength,edit_mse_to_source,edit_mse_to_full,preserve_mse_to_source,preserve_mse_to_full,endpoint_pixel_axis_projection
best_training_output,0.2,0.0731646940112114,0.00016991444863379002,0.0006787303136661649,1.936824082804378e-05,0.9962003231048584
best_training_output,0.5,0.07275022566318512,9.360600961372256e-05,0.0006786154117435217,1.3164131814846769e-05,0.9939015507698059
best_training_output,0.8,0.0717015191912651,6.664948159595951e-05,0.0006898396532051265,1.1104857549071312e-05,0.9869559407234192
dense_held_out_evaluation,0.0,0.07295691221952438,0.00033570072264410555,0.0007119379006326199,2.7738415155909024e-05,0.9936609864234924
dense_held_out_evaluation,0.1,0.07210425287485123,9.612751455279067e-05,0.0006996571319177747,1.1923247257072944e-05,0.9894932508468628
dense_held_out_evaluation,0.2,0.0731646940112114,0.00016991444863379002,0.0006787303136661649,1.936824082804378e-05,0.9962003231048584
dense_held_out_evaluation,0.3,0.0714469775557518,8.406659617321566e-05,0.00068202632246539,1.0409949027234688e-05,0.9851072430610657
dense_held_out_evaluation,0.4,0.07281655073165894,8.087021706160158e-05,0.0006873544189147651,1.3531662261812016e-05,0.9944389462471008
dense_held_out_evaluation,0.5,0.07275022566318512,9.360600961372256e-05,0.0006786154117435217,1.3164131814846769e-05,0.9939015507698059
dense_held_out_evaluation,0.6,0.07273019105195999,4.414617797010578e-05,0.0006386655732057989,1.1219893167435657e-05,0.9941015839576721
dense_held_out_evaluation,0.7,0.07268427312374115,7.38185117370449e-05,0.0006611546850763261,1.2816938578907866e-05,0.9935877919197083
dense_held_out_evaluation,0.8,0.0717015191912651,6.664948159595951e-05,0.0006898396532051265,1.1104857549071312e-05,0.9869559407234192
dense_held_out_evaluation,0.9,0.07425886392593384,7.566357089672238e-05,0.0006703261751681566,1.2095749298168812e-05,1.0042788982391357
dense_held_out_evaluation,1.0,0.07355374097824097,0.0,0.0006645660614594817,0.0,1.0
