optimizer_step,evaluated_control_state,strength,feature_coordinate,target,absolute_coordinate_error,semantic_loss,control_energy,mean_coordinate_error,shared_direction_gradient_norm,mean_effective_control_energy
13,12,0.2,0.9645014405250549,0.2,0.7645014524459839,0.5844624638557434,0.03488306701183319,0.4628137946128845,0.7797937989234924,0.016896486282348633
13,12,0.5,0.9578693509101868,0.5,0.45786935091018677,0.2096443474292755,0.01362619735300541,0.4628137946128845,0.7797937989234924,0.016896486282348633
13,12,0.8,0.9660705327987671,0.8,0.16607052087783813,0.02757941745221615,0.0021801916882395744,0.4628137946128845,0.7797937989234924,0.016896486282348633
14,13,0.2,0.9586244821548462,0.2,0.7586244940757751,0.57551109790802,0.039431117475032806,0.46778830885887146,0.40404626727104187,0.01909944973886013
14,13,0.5,0.9682016372680664,0.5,0.4682016372680664,0.21921277046203613,0.0154027808457613,0.46778830885887146,0.40404626727104187,0.01909944973886013
14,13,0.8,0.9765387773513794,0.8,0.17653876543045044,0.03116593509912491,0.0024644448421895504,0.46778830885887146,0.40404626727104187,0.01909944973886013
15,14,0.2,0.9492735862731934,0.2,0.7492735981941223,0.5614109039306641,0.0441766232252121,0.45768463611602783,0.4534882605075836,0.02139805257320404
15,14,0.5,0.9525049924850464,0.5,0.4525049924850464,0.20476077497005463,0.017256492748856544,0.45768463611602783,0.4534882605075836,0.02139805257320404
15,14,0.8,0.9712753295898438,0.8,0.1712753176689148,0.029335234314203262,0.002761038951575756,0.45768463611602783,0.4534882605075836,0.02139805257320404
16,15,0.2,0.9348413944244385,0.2,0.7348414063453674,0.5399919152259827,0.04920424893498421,0.45443642139434814,0.6419810652732849,0.02383330836892128
16,15,0.5,0.9547328948974609,0.5,0.45473289489746094,0.2067819982767105,0.01922040805220604,0.45443642139434814,0.6419810652732849,0.02383330836892128
16,15,0.8,0.973734974861145,0.8,0.17373496294021606,0.030183836817741394,0.003075265558436513,0.45443642139434814,0.6419810652732849,0.02383330836892128
17,16,0.2,0.9520163536071777,0.2,0.7520163655281067,0.5655286312103271,0.05459248647093773,0.4580087661743164,0.9781618118286133,0.0264432355761528
17,16,0.5,0.9571047425270081,0.5,0.45710474252700806,0.20894475281238556,0.021325189620256424,0.4580087661743164,0.9781618118286133,0.0264432355761528
17,16,0.8,0.9649052619934082,0.8,0.16490525007247925,0.027193741872906685,0.003412030404433608,0.4580087661743164,0.9781618118286133,0.0264432355761528
18,17,0.2,0.9427729249000549,0.2,0.7427729368209839,0.5517116189002991,0.058564044535160065,0.45280152559280396,0.23395603895187378,0.02836695872247219
18,17,0.5,0.9546518921852112,0.5,0.4546518921852112,0.20670834183692932,0.02287657931447029,0.45280152559280396,0.23395603895187378,0.02836695872247219
18,17,0.8,0.960979700088501,0.8,0.16097968816757202,0.02591446042060852,0.003660252783447504,0.45280152559280396,0.23395603895187378,0.02836695872247219
19,18,0.2,0.9507223963737488,0.2,0.7507224082946777,0.5635841488838196,0.06243182718753815,0.45561549067497253,0.5797262787818909,0.030240416526794434
19,18,0.5,0.9544633626937866,0.5,0.4544633626937866,0.20653694868087769,0.024387434124946594,0.45561549067497253,0.5797262787818909,0.030240416526794434
19,18,0.8,0.9616606831550598,0.8,0.16166067123413086,0.026134172454476357,0.003901989199221134,0.45561549067497253,0.5797262787818909,0.030240416526794434
20,19,0.2,0.9277950525283813,0.2,0.7277950644493103,0.5296856760978699,0.06633298099040985,0.45494508743286133,0.24569740891456604,0.03213003650307655
20,19,0.5,0.9628961086273193,0.5,0.46289610862731934,0.21427281200885773,0.025911318138241768,0.45494508743286133,0.24569740891456604,0.03213003650307655
20,19,0.8,0.9741441607475281,0.8,0.17414414882659912,0.030326183885335922,0.004145811311900616,0.45494508743286133,0.24569740891456604,0.03213003650307655
