optimizer_step,evaluated_control_state,strength,feature_coordinate,target,absolute_coordinate_error,semantic_loss,control_energy,mean_coordinate_error,shared_direction_gradient_norm,mean_effective_control_energy
1,0,0.2,1.0000054836273193,0.2,0.8000054955482483,0.640008807182312,0.0,0.5000054836273193,3.204117820132524e-05,0.0
1,0,0.5,1.0000054836273193,0.5,0.5000054836273193,0.25000548362731934,0.0,0.5000054836273193,3.204117820132524e-05,0.0
1,0,0.8,1.0000054836273193,0.8,0.20000547170639038,0.040002189576625824,0.0,0.5000054836273193,3.204117820132524e-05,0.0
2,1,0.2,0.9828592538833618,0.2,0.7828592658042908,0.61286860704422,0.0008959777187556028,0.486983060836792,0.2281041443347931,0.0004339891893323511
2,1,0.5,0.9904757142066956,0.5,0.49047571420669556,0.2405664324760437,0.0003499912563711405,0.486983060836792,0.2281041443347931,0.0004339891893323511
2,1,0.8,0.9876142740249634,0.8,0.18761426210403442,0.0351991131901741,5.599860742222518e-05,0.486983060836792,0.2281041443347931,0.0004339891893323511
3,2,0.2,0.9844871759414673,0.2,0.7844871878623962,0.6154201626777649,0.001592004206031561,0.48810848593711853,0.5487571358680725,0.0007711270591244102
3,2,0.5,0.9888927936553955,0.5,0.4888927936553955,0.23901616036891937,0.0006218765629455447,0.48810848593711853,0.5487571358680725,0.0007711270591244102
3,2,0.8,0.9909455180168152,0.8,0.19094550609588623,0.036460187286138535,9.950026287697256e-05,0.48810848593711853,0.5487571358680725,0.0007711270591244102
4,3,0.2,0.9879993796348572,0.2,0.7879993915557861,0.6209430694580078,0.0028432016260921955,0.4797203540802002,0.7865878939628601,0.0013771759113296866
4,3,0.5,0.9732701182365417,0.5,0.47327011823654175,0.22398459911346436,0.0011106256861239672,0.4797203540802002,0.7865878939628601,0.0013771759113296866
4,3,0.8,0.9778916239738464,0.8,0.17789161205291748,0.03164542466402054,0.00017770010163076222,0.4797203540802002,0.7865878939628601,0.0013771759113296866
5,4,0.2,0.9819577932357788,0.2,0.7819578051567078,0.6114580035209656,0.004713899921625853,0.4833507537841797,0.7582821249961853,0.0022832953836768866
5,4,0.5,0.9803262948989868,0.5,0.4803262948989868,0.230713352560997,0.0018413672223687172,0.4833507537841797,0.7582821249961853,0.0022832953836768866
5,4,0.8,0.9877682328224182,0.8,0.18776822090148926,0.03525690361857414,0.0002946187451016158,0.4833507537841797,0.7582821249961853,0.0022832953836768866
6,5,0.2,0.9740937948226929,0.2,0.7740938067436218,0.5992212295532227,0.0073324949480593204,0.47589683532714844,1.0736342668533325,0.003551677567884326
6,5,0.5,0.9750182032585144,0.5,0.4750182032585144,0.22564229369163513,0.0028642560355365276,0.47589683532714844,1.0736342668533325,0.003551677567884326
6,5,0.8,0.9785785675048828,0.8,0.17857855558395386,0.031890299171209335,0.00045828093425370753,0.47589683532714844,1.0736342668533325,0.003551677567884326
7,6,0.2,0.9640724658966064,0.2,0.7640724778175354,0.5838067531585693,0.010421520099043846,0.4736369550228119,2.1883604526519775,0.005047924350947142
7,6,0.5,0.9823825359344482,0.5,0.48238253593444824,0.2326929122209549,0.004070906434208155,0.4736369550228119,2.1883604526519775,0.005047924350947142
7,6,0.8,0.9744558930397034,0.8,0.17445588111877441,0.030434854328632355,0.0006513450061902404,0.4736369550228119,2.1883604526519775,0.005047924350947142
8,7,0.2,0.9698281288146973,0.2,0.7698281407356262,0.5926353931427002,0.013913821429014206,0.47514307498931885,1.4038293361663818,0.006739507429301739
8,7,0.5,0.9742953181266785,0.5,0.47429531812667847,0.22495605051517487,0.005435085855424404,0.47514307498931885,1.4038293361663818,0.006739507429301739
8,7,0.8,0.9813057780265808,0.8,0.18130576610565186,0.032871779054403305,0.0008696138393133879,0.47514307498931885,1.4038293361663818,0.006739507429301739
9,8,0.2,0.9254170656204224,0.2,0.7254170775413513,0.5262299180030823,0.017787188291549683,0.4543278217315674,4.251912593841553,0.00861567072570324
9,8,0.5,0.9537063837051392,0.5,0.45370638370513916,0.20584948360919952,0.006948120892047882,0.4543278217315674,4.251912593841553,0.00861567072570324
9,8,0.8,0.9838599562644958,0.8,0.1838599443435669,0.033804479986429214,0.0011116992682218552,0.4543278217315674,4.251912593841553,0.00861567072570324
10,9,0.2,0.9583092331886292,0.2,0.7583092451095581,0.5750328898429871,0.021733498200774193,0.4640602469444275,3.612424850463867,0.010527163743972778
10,9,0.5,0.9617258310317993,0.5,0.4617258310317993,0.21319074928760529,0.008489647880196571,0.4640602469444275,3.612424850463867,0.010527163743972778
10,9,0.8,0.9721455574035645,0.8,0.1721455454826355,0.029634088277816772,0.001358343637548387,0.4640602469444275,3.612424850463867,0.010527163743972778
11,10,0.2,0.9360555410385132,0.2,0.7360555529594421,0.5417777895927429,0.025899525731801987,0.46152108907699585,4.594270706176758,0.012545082718133926
11,10,0.5,0.9666973352432251,0.5,0.4666973352432251,0.2178063988685608,0.010117001831531525,0.46152108907699585,4.594270706176758,0.012545082718133926
11,10,0.8,0.9818103313446045,0.8,0.18181031942367554,0.03305499255657196,0.0016187203582376242,0.46152108907699585,4.594270706176758,0.012545082718133926
12,11,0.2,0.953283429145813,0.2,0.7532834410667419,0.5674359202384949,0.030345048755407333,0.4620966911315918,2.0953168869018555,0.014698382467031479
12,11,0.5,0.9522247910499573,0.5,0.4522247910499573,0.2045072615146637,0.01185353472828865,0.4620966911315918,2.0953168869018555,0.014698382467031479
12,11,0.8,0.9807817935943604,0.8,0.1807817816734314,0.03268205374479294,0.0018965655472129583,0.4620966911315918,2.0953168869018555,0.014698382467031479
