image_id,provenance,forward_1_margin,forward_2_margin,symmetrized_margin,order_bias
source,MODEL_GENERATED_OR_ENDPOINT_INPUT,-0.13225173950195312,0.1094512939453125,-0.011400222778320312,-0.12085151672363281
oracle_0.2,MODEL_GENERATED_OR_ENDPOINT_INPUT,-0.12407493591308594,0.1524677276611328,0.014196395874023438,-0.13827133178710938
oracle_0.5,MODEL_GENERATED_OR_ENDPOINT_INPUT,-0.11150360107421875,0.09893798828125,-0.006282806396484375,-0.10522079467773438
oracle_0.8,MODEL_GENERATED_OR_ENDPOINT_INPUT,-0.062236785888671875,0.11943435668945312,0.028598785400390625,-0.0908355712890625
native_full,MODEL_GENERATED_OR_ENDPOINT_INPUT,-0.09852981567382812,0.1428546905517578,0.022162437438964844,-0.12069225311279297
pixel_0,PIXEL_BLEND_DIAGNOSTIC_NOT_MODEL_GENERATED_OUTPUT,-0.13225173950195312,0.1094512939453125,-0.011400222778320312,-0.12085151672363281
pixel_0.2,PIXEL_BLEND_DIAGNOSTIC_NOT_MODEL_GENERATED_OUTPUT,0.10492897033691406,0.10486030578613281,0.10489463806152344,3.4332275390625e-05
pixel_0.4,PIXEL_BLEND_DIAGNOSTIC_NOT_MODEL_GENERATED_OUTPUT,-0.08229637145996094,0.10107040405273438,0.009387016296386719,-0.09168338775634766
pixel_0.5,PIXEL_BLEND_DIAGNOSTIC_NOT_MODEL_GENERATED_OUTPUT,-0.11560821533203125,0.10126686096191406,-0.007170677185058594,-0.10843753814697266
pixel_0.6,PIXEL_BLEND_DIAGNOSTIC_NOT_MODEL_GENERATED_OUTPUT,-0.08983802795410156,0.10824203491210938,0.009202003479003906,-0.09904003143310547
pixel_0.8,PIXEL_BLEND_DIAGNOSTIC_NOT_MODEL_GENERATED_OUTPUT,-0.07261085510253906,0.11768913269042969,0.022539138793945312,-0.09514999389648438
pixel_1,PIXEL_BLEND_DIAGNOSTIC_NOT_MODEL_GENERATED_OUTPUT,-0.09852981567382812,0.1428546905517578,0.022162437438964844,-0.12069225311279297
