image_id,provenance,cosine_distance_source,cosine_distance_full,cosine_distance_ratio,euclidean_distance_source,euclidean_distance_full,euclidean_distance_ratio,axis_projection
source,MODEL_GENERATED_OR_ENDPOINT_INPUT,-1.1920928955078125e-07,0.019028663635253906,-6.264758212637389e-06,0.0,0.19508352875709534,0.0,0.0
oracle_0.2,MODEL_GENERATED_OR_ENDPOINT_INPUT,0.018106281757354736,0.002399921417236328,0.8829656839370728,0.19029638171195984,0.06928247213363647,0.7330965995788574,0.9126989245414734
oracle_0.5,MODEL_GENERATED_OR_ENDPOINT_INPUT,0.020921826362609863,0.0019470453262329102,0.9148600697517395,0.20455802977085114,0.06240458786487579,0.7662422060966492,0.9985820055007935
oracle_0.8,MODEL_GENERATED_OR_ENDPOINT_INPUT,0.02154254913330078,0.001023411750793457,0.9546476006507874,0.2075696438550949,0.04524312913417816,0.8210409879684448,1.0391594171524048
native_full,MODEL_GENERATED_OR_ENDPOINT_INPUT,0.019028663635253906,-1.1920928955078125e-07,1.0000057220458984,0.19508352875709534,0.0,0.9999999403953552,0.9999999403953552
pixel_0,PIXEL_BLEND_DIAGNOSTIC_NOT_MODEL_GENERATED_OUTPUT,-1.1920928955078125e-07,0.019028663635253906,-6.264758212637389e-06,0.0,0.19508352875709534,0.0,0.0
pixel_0.2,PIXEL_BLEND_DIAGNOSTIC_NOT_MODEL_GENERATED_OUTPUT,0.012727797031402588,0.006145358085632324,0.6743859648704529,0.15954887866973877,0.11086391657590866,0.590019702911377,0.672961950302124
pixel_0.4,PIXEL_BLEND_DIAGNOSTIC_NOT_MODEL_GENERATED_OUTPUT,0.015804827213287354,0.0017386078834533691,0.9008964896202087,0.17779172956943512,0.05896885320544243,0.7509346008300781,0.869605302810669
pixel_0.5,PIXEL_BLEND_DIAGNOSTIC_NOT_MODEL_GENERATED_OUTPUT,0.018426954746246338,0.0011187195777893066,0.9427633881568909,0.19197416305541992,0.04730227217078209,0.80231112241745,0.9547920227050781
pixel_0.6,PIXEL_BLEND_DIAGNOSTIC_NOT_MODEL_GENERATED_OUTPUT,0.01946479082107544,0.0010743141174316406,0.9476937651634216,0.19730640947818756,0.04635452479124069,0.8097580671310425,0.9832291603088379
pixel_0.8,PIXEL_BLEND_DIAGNOSTIC_NOT_MODEL_GENERATED_OUTPUT,0.020349085330963135,0.0010616779327392578,0.9504134058952332,0.20173819363117218,0.04607946425676346,0.8140588998794556,1.0067975521087646
pixel_1,PIXEL_BLEND_DIAGNOSTIC_NOT_MODEL_GENERATED_OUTPUT,0.019028663635253906,-1.1920928955078125e-07,1.0000057220458984,0.19508352875709534,0.0,0.9999999403953552,0.9999999403953552
