image_id,dtype,forward_order,logit_A,logit_B,logit_difference_B_minus_A,logprob_A,logprob_B,logprob_difference_B_minus_A,remapped_logit_margin,margin,symmetrized_margin
source,bf16,1,27.375,27.25,-0.125,-0.6334025263786316,-0.7584025263786316,-0.125,-0.125,-0.125,-0.0625
source,bf16,2,27.375,27.375,0.0,-0.6942062973976135,-0.6942062973976135,0.0,0.0,0.0,-0.0625
oracle_0.2,bf16,1,27.5,27.375,-0.125,-0.6333636045455933,-0.7583636045455933,-0.125,-0.125,-0.125,0.0
oracle_0.2,bf16,2,27.375,27.25,-0.125,-0.6338428854942322,-0.7588428854942322,-0.125,0.125,0.125,0.0
oracle_0.5,bf16,1,27.25,27.25,0.0,-0.6940271854400635,-0.6940271854400635,0.0,0.0,0.0,0.0
oracle_0.5,bf16,2,27.25,27.25,0.0,-0.6944095492362976,-0.6944095492362976,0.0,0.0,0.0,0.0
oracle_0.8,bf16,1,27.25,27.375,0.125,-0.7584317326545715,-0.6334317326545715,0.125,0.125,0.125,0.0625
oracle_0.8,bf16,2,27.25,27.25,0.0,-0.6944249868392944,-0.6944249868392944,0.0,0.0,0.0,0.0625
native_full,bf16,1,27.375,27.375,0.0,-0.6939651966094971,-0.6939651966094971,0.0,0.0,0.0,0.0625
native_full,bf16,2,27.375,27.25,-0.125,-0.6337394714355469,-0.7587394714355469,-0.125,0.125,0.125,0.0625
pixel_0,bf16,1,27.375,27.25,-0.125,-0.6334025263786316,-0.7584025263786316,-0.125,-0.125,-0.125,-0.0625
pixel_0,bf16,2,27.375,27.375,0.0,-0.6942062973976135,-0.6942062973976135,0.0,0.0,0.0,-0.0625
pixel_0.2,bf16,1,27.375,27.5,0.125,-0.7584104537963867,-0.6334104537963867,0.125,0.125,0.125,0.125
pixel_0.2,bf16,2,27.375,27.25,-0.125,-0.6338263154029846,-0.7588263154029846,-0.125,0.125,0.125,0.125
pixel_0.4,bf16,1,27.375,27.375,0.0,-0.6939495205879211,-0.6939495205879211,0.0,0.0,0.0,0.0625
pixel_0.4,bf16,2,27.375,27.25,-0.125,-0.6337955594062805,-0.7587955594062805,-0.125,0.125,0.125,0.0625
pixel_0.5,bf16,1,27.375,27.375,0.0,-0.6939309239387512,-0.6939309239387512,0.0,0.0,0.0,0.0
pixel_0.5,bf16,2,27.375,27.375,0.0,-0.6944035887718201,-0.6944035887718201,0.0,0.0,0.0,0.0
pixel_0.6,bf16,1,27.5,27.375,-0.125,-0.6333413124084473,-0.7583413124084473,-0.125,-0.125,-0.125,-0.0625
pixel_0.6,bf16,2,27.25,27.25,0.0,-0.6944224834442139,-0.6944224834442139,0.0,0.0,0.0,-0.0625
pixel_0.8,bf16,1,27.375,27.375,0.0,-0.6939319968223572,-0.6939319968223572,0.0,0.0,0.0,0.0625
pixel_0.8,bf16,2,27.375,27.25,-0.125,-0.6338058710098267,-0.7588058710098267,-0.125,0.125,0.125,0.0625
pixel_1,bf16,1,27.375,27.375,0.0,-0.6939651966094971,-0.6939651966094971,0.0,0.0,0.0,0.0625
pixel_1,bf16,2,27.375,27.25,-0.125,-0.6337394714355469,-0.7587394714355469,-0.125,0.125,0.125,0.0625
source,fp32,1,27.488285064697266,27.356033325195312,-0.13225173950195312,-0.6299854516983032,-0.7622371912002563,-0.13225173950195312,-0.13225173950195312,-0.13225173950195312,-0.011400222778320312
source,fp32,2,27.402414321899414,27.2929630279541,-0.1094512939453125,-0.6410108804702759,-0.7504621744155884,-0.1094512939453125,0.1094512939453125,0.1094512939453125,-0.011400222778320312
oracle_0.2,fp32,1,27.497854232788086,27.373779296875,-0.12407493591308594,-0.6338210701942444,-0.7578960061073303,-0.12407493591308594,-0.12407493591308594,-0.12407493591308594,0.014196395874023438
oracle_0.2,fp32,2,27.34799575805664,27.195528030395508,-0.1524677276611328,-0.6210623383522034,-0.7735300660133362,-0.1524677276611328,0.1524677276611328,0.1524677276611328,0.014196395874023438
oracle_0.5,fp32,1,27.448772430419922,27.337268829345703,-0.11150360107421875,-0.6397519707679749,-0.7512555718421936,-0.11150360107421875,-0.11150360107421875,-0.11150360107421875,-0.006282806396484375
oracle_0.5,fp32,2,27.295452117919922,27.196514129638672,-0.09893798828125,-0.6461678743362427,-0.7451058626174927,-0.09893798828125,0.09893798828125,0.09893798828125,-0.006282806396484375
oracle_0.8,fp32,1,27.43158531188965,27.369348526000977,-0.062236785888671875,-0.6633008122444153,-0.7255375981330872,-0.062236785888671875,-0.062236785888671875,-0.062236785888671875,0.028598785400390625
oracle_0.8,fp32,2,27.30424690246582,27.184812545776367,-0.11943435668945312,-0.6364672780036926,-0.7559016346931458,-0.11943435668945312,0.11943435668945312,0.11943435668945312,0.028598785400390625
native_full,fp32,1,27.45741081237793,27.3588809967041,-0.09852981567382812,-0.6458966135978699,-0.744426429271698,-0.09852981567382812,-0.09852981567382812,-0.09852981567382812,0.022162437438964844
native_full,fp32,2,27.33021354675293,27.187358856201172,-0.1428546905517578,-0.6255170106887817,-0.7683717012405396,-0.1428546905517578,0.1428546905517578,0.1428546905517578,0.022162437438964844
pixel_0,fp32,1,27.488285064697266,27.356033325195312,-0.13225173950195312,-0.6299854516983032,-0.7622371912002563,-0.13225173950195312,-0.13225173950195312,-0.13225173950195312,-0.011400222778320312
pixel_0,fp32,2,27.402414321899414,27.2929630279541,-0.1094512939453125,-0.6410108804702759,-0.7504621744155884,-0.1094512939453125,0.1094512939453125,0.1094512939453125,-0.011400222778320312
pixel_0.2,fp32,1,27.355209350585938,27.46013832092285,0.10492897033691406,-0.7478049993515015,-0.6428760290145874,0.10492897033691406,0.10492897033691406,0.10492897033691406,0.10489463806152344
pixel_0.2,fp32,2,27.33275032043457,27.227890014648438,-0.10486030578613281,-0.6433446407318115,-0.7482049465179443,-0.10486030578613281,0.10486030578613281,0.10486030578613281,0.10489463806152344
pixel_0.4,fp32,1,27.478914260864258,27.396617889404297,-0.08229637145996094,-0.6536325812339783,-0.7359289526939392,-0.08229637145996094,-0.08229637145996094,-0.08229637145996094,0.009387016296386719
pixel_0.4,fp32,2,27.32863426208496,27.227563858032227,-0.10107040405273438,-0.6451494693756104,-0.7462198734283447,-0.10107040405273438,0.10107040405273438,0.10107040405273438,0.009387016296386719
pixel_0.5,fp32,1,27.494985580444336,27.379377365112305,-0.11560821533203125,-0.6377973556518555,-0.7534055709838867,-0.11560821533203125,-0.11560821533203125,-0.11560821533203125,-0.007170677185058594
pixel_0.5,fp32,2,27.332199096679688,27.230932235717773,-0.10126686096191406,-0.6450448632240295,-0.7463117241859436,-0.10126686096191406,0.10126686096191406,0.10126686096191406,-0.007170677185058594
pixel_0.6,fp32,1,27.480281829833984,27.390443801879883,-0.08983802795410156,-0.6500144600868225,-0.7398524880409241,-0.08983802795410156,-0.08983802795410156,-0.08983802795410156,0.009202003479003906
pixel_0.6,fp32,2,27.327686309814453,27.219444274902344,-0.10824203491210938,-0.6417326331138611,-0.7499746680259705,-0.10824203491210938,0.10824203491210938,0.10824203491210938,0.009202003479003906
pixel_0.8,fp32,1,27.451215744018555,27.378604888916016,-0.07261085510253906,-0.6582883596420288,-0.7308992147445679,-0.07261085510253906,-0.07261085510253906,-0.07261085510253906,0.022539138793945312
pixel_0.8,fp32,2,27.326658248901367,27.208969116210938,-0.11768913269042969,-0.6372765898704529,-0.7549657225608826,-0.11768913269042969,0.11768913269042969,0.11768913269042969,0.022539138793945312
pixel_1,fp32,1,27.45741081237793,27.3588809967041,-0.09852981567382812,-0.6458966135978699,-0.744426429271698,-0.09852981567382812,-0.09852981567382812,-0.09852981567382812,0.022162437438964844
